City,Country,IATA,CA,MU,CZ,HU
Kolkata,India,CCU,NULL,yes,NULL,yes
Komatsu,Japan,KMQ,NULL,yes,NULL,NULL
Korla,"People's Republic of China",KRL,yes,NULL,yes,yes
"Kota Kinabalu",Malaysia,BKI,NULL,yes,yes,NULL
Krabi,Thailand,KBV,NULL,NULL,yes,NULL
Krasnoyarsk,Russia,KJA,NULL,NULL,NULL,yes
"Kuala Lumpur",Malaysia,KUL,yes,yes,yes,NULL
Kunming,"People's Republic of China",KMG,yes,yes,yes,yes
Kuqa,"People's Republic of China",KCA,NULL,NULL,yes,NULL
"Kuwait City",Kuwait,KWI,yes,NULL,NULL,NULL
Lanzhou,"People's Republic of China",LHW,yes,yes,yes,yes
"Laoag City",Philippines,LAO,NULL,NULL,yes,NULL
Lhasa,"People's Republic of China",LXA,yes,yes,yes,yes
Lianyungang,"People's Republic of China",LYG,NULL,yes,yes,NULL
Lijiang,"People's Republic of China",LJG,yes,yes,yes,NULL
Lincang,"People's Republic of China",LNJ,NULL,yes,NULL,NULL
Linyi,"People's Republic of China",LYI,NULL,yes,NULL,yes
Liping,"People's Republic of China",HZH,NULL,yes,yes,NULL
Liuzhou,"People's Republic of China",LZH,yes,yes,yes,NULL
London,"United Kingdom",LHR,yes,yes,yes,NULL
London,"United Kingdom",LGW,yes,NULL,NULL,NULL
"Los Angeles","United States",LAX,yes,yes,yes,yes
Luanda,Angola,LAD,NULL,NULL,NULL,yes
"Luang Prabang",Laos,LPQ,NULL,yes,NULL,NULL
Luoyang,"People's Republic of China",LYA,NULL,yes,yes,NULL
Luzhou,"People's Republic of China",LZO,yes,yes,yes,NULL
Macau,Macau,MFM,yes,yes,yes,yes
Macau,Macao,MFM,yes,yes,yes,yes
Madrid,Spain,MAD,yes,yes,NULL,NULL
Mandalay,Myanmar,MDY,yes,NULL,NULL,NULL
Mandalay,Myanmar,MDL,NULL,yes,NULL,NULL
"Mang City","People's Republic of China",LUM,NULL,yes,NULL,NULL
Manila,Philippines,MNL,yes,yes,yes,NULL
Manzhouli,"People's Republic of China",NZH,NULL,NULL,yes,yes
Matsuyama,Japan,MYJ,NULL,yes,NULL,NULL
Medina,"Saudi Arabia",MED,NULL,NULL,yes,NULL
"Mei County","People's Republic of China",MXZ,NULL,yes,yes,NULL
Melbourne,Australia,MEL,yes,yes,yes,NULL
